time,ax,ay,az,atotal
0.006799936294555664,0.26,0.01,1.57,1.59
0.00989985466003418,0.04,-0.05,-0.3,0.3
0.02443695068359375,-0.09,0.31,-1.86,1.88
0.029932022094726562,-0.37,0.39,-2.7,2.75
0.04020810127258301,-0.71,0.4,-2.96,3.07
0.05109095573425293,-0.39,0.57,-2.24,2.34
0.0602869987487793,0.34,1.12,-1.06,1.57
0.07096099853515625,0.41,1.53,0.27,1.6
0.08063793182373047,0.84,1.65,0.56,1.93
0.0908048152923584,1.86,1.39,-0.55,2.38
0.10164594650268555,2.56,0.89,-1.87,3.29
0.11085200309753418,2.41,0.52,-2.21,3.31
0.12813210487365723,0.73,0.38,-0.01,0.82
0.13123488426208496,-2.43,0.61,3.67,4.44
0.14165902137756348,-2.66,0.85,1.98,3.42
0.15167498588562012,-2.02,0.89,1.61,2.73
0.1611640453338623,-1.27,1.35,2.32,2.96
0.17193198204040527,-0.26,1.61,1.69,2.34
0.1819288730621338,0.41,1.45,1.43,2.07
0.19175100326538086,1.15,0.98,1.74,2.3
0.20221495628356934,1.17,0.26,1.44,1.87
0.21201300621032715,0.38,-0.57,1.6,1.74
0.22952008247375488,0.25,-0.72,1.88,2.02
0.23201584815979004,0.72,-0.5,1.73,1.93
0.24260687828063965,0.96,-0.51,1.39,1.76
0.25251102447509766,0.5,-1.01,0.37,1.18
0.2619020938873291,0.21,-1.3,-1.02,1.66
0.27251291275024414,0.93,-1.11,-2.61,2.98
0.282977819442749,1.92,-0.96,-3.68,4.26
0.2924158573150635,1.66,0.05,-3.71,4.06
0.30344295501708984,2.57,1.86,-2.69,4.15
0.31296706199645996,3.57,3.0,-0.96,4.76
0.3318750858306885,3.74,3.48,0.14,5.11
0.3343350887298584,0.4,5.36,5.05,7.37
0.3426659107208252,-2.12,5.91,4.5,7.72
0.35333800315856934,0.84,3.88,-1.53,4.25
0.3630499839782715,2.85,3.0,-3.11,5.17
0.3730599880218506,2.02,2.89,-2.19,4.15
0.3837089538574219,0.09,2.99,-0.82,3.1
0.3936331272125244,-2.44,3.13,-0.45,3.99
0.40392279624938965,0.53,2.08,-3.35,3.97
0.41425585746765137,-0.1,2.08,-2.02,2.9
0.43270087242126465,-0.63,2.81,-0.62,2.94
0.43494701385498047,0.27,3.2,-2.11,3.84
0.44340991973876953,1.78,2.2,-3.51,4.5
0.4539940357208252,1.33,0.52,-4.23,4.46
0.46428799629211426,-0.92,-0.03,-3.98,4.08
0.47411608695983887,-0.12,-0.29,-4.03,4.04
0.48447680473327637,1.96,-0.69,-5.18,5.58
0.4941539764404297,2.87,-1.26,-6.2,6.94
0.504472017288208,3.63,-2.21,-6.54,7.79
0.5151998996734619,2.74,-3.59,-7.36,8.63
0.529188871383667,2.48,-4.89,-7.33,9.15
0.534343957901001,2.98,-5.43,-7.54,9.75
0.5444490909576416,3.72,-5.84,-8.4,10.88
0.5550060272216797,3.95,-7.24,-9.04,12.23
0.5653440952301025,4.91,-9.23,-10.49,14.81
0.5750257968902588,5.33,-11.34,-10.88,16.59
0.5853979587554932,5.07,-13.39,-9.18,17.0
0.5951931476593018,4.4,-14.77,-9.78,18.25
0.6053440570831299,4.16,-15.55,-9.86,18.87
0.6161580085754395,3.91,-17.27,-8.82,19.78
0.6311860084533691,5.0,-19.94,-8.94,22.41
0.6357347965240479,6.11,-22.19,-8.09,24.39
0.6456930637359619,6.9,-23.54,-7.11,25.54
0.6557769775390625,7.65,-24.93,-6.28,26.82
0.6658070087432861,8.72,-26.9,-5.36,28.78
0.6755678653717041,10.56,-29.23,-4.66,31.42
0.6860430240631104,12.09,-31.59,-4.53,34.12
0.6966168880462646,14.01,-33.76,-4.43,36.81
0.7062118053436279,15.29,-34.18,-3.33,37.59
0.7168350219726562,16.17,-34.63,-1.41,38.24
0.7311460971832275,17.8,-36.44,0.61,40.55
0.7356898784637451,19.92,-39.17,2.04,43.99
0.7466349601745605,22.84,-41.47,3.59,47.47
0.7565090656280518,25.98,-41.29,4.72,49.01
0.7667720317840576,28.91,-39.49,5.39,49.23
0.776479959487915,30.67,-38.98,5.76,49.93
0.7865478992462158,31.94,-39.0,6.31,50.8
0.7971339225769043,32.56,-38.08,6.47,50.51
0.806751012802124,32.07,-37.21,5.69,49.45
0.8173480033874512,31.6,-36.93,4.52,48.81
0.8304569721221924,30.79,-37.1,3.54,48.34
0.836594820022583,30.04,-36.42,3.11,47.31
0.8474581241607666,29.52,-35.13,2.63,45.96
0.8573119640350342,28.75,-33.37,2.26,44.1
0.8674490451812744,27.53,-30.43,2.15,41.09
0.8773889541625977,27.05,-28.05,2.45,39.04
0.8873498439788818,27.06,-26.29,2.92,37.84
0.8976190090179443,27.34,-24.64,2.65,36.9
0.907634973526001,27.56,-22.75,2.3,35.81
0.9179089069366455,27.71,-21.26,1.84,34.97
0.9315659999847412,28.13,-20.12,1.63,34.62
0.9373290538787842,28.46,-18.88,2.17,34.22
0.947437047958374,28.96,-16.73,3.45,33.62
0.9581458568572998,29.8,-15.13,4.37,33.7
0.9682028293609619,30.89,-14.44,4.75,34.42
0.9782929420471191,32.9,-14.5,4.24,36.2
0.9883599281311035,34.12,-12.97,4.46,36.77
0.9988601207733154,34.97,-7.42,6.72,36.37
1.008526086807251,36.88,0.19,10.16,38.25
1.018690824508667,39.91,7.45,13.55,42.8
1.033277988433838,41.58,11.96,14.53,45.64
1.0381460189819336,40.89,11.56,14.95,45.04
1.0486948490142822,40.22,9.96,16.41,44.56
1.0589900016784668,39.05,9.92,17.72,44.01
1.0692260265350342,36.78,10.52,17.88,42.22
1.0789577960968018,34.54,10.05,16.38,39.52
1.0892460346221924,32.37,9.87,14.7,36.89
1.0995628833770752,30.19,10.1,13.3,34.5
1.1094589233398438,28.37,9.81,11.43,32.12
1.1195428371429443,26.93,9.5,9.25,30.01
1.1335759162902832,26.22,8.87,6.81,28.5
1.1389830112457275,26.39,6.91,4.42,27.63
1.1499850749969482,26.05,4.83,2.51,26.61
1.1593258380889893,26.79,2.51,1.05,26.92
1.1701748371124268,28.34,-0.56,-1.22,28.37
1.179837942123413,30.64,-3.26,-4.64,31.16
1.189842939376831,33.92,-5.82,-8.55,35.46
1.2004039287567139,37.75,-10.21,-13.57,41.39
1.2102200984954834,41.57,-15.92,-19.04,48.41
1.220484972000122,44.61,-22.32,-25.66,56.09
1.2372279167175293,49.21,-31.49,-33.71,67.45
1.239778995513916,51.77,-39.29,-40.67,76.66
1.2506868839263916,53.85,-45.33,-45.74,83.94
1.2604279518127441,54.75,-48.56,-49.68,88.45
1.2707350254058838,54.48,-52.98,-52.32,92.26
1.2808301448822021,53.98,-57.96,-54.05,95.88
1.2907068729400635,53.27,-60.01,-57.13,98.5
1.3011829853057861,53.24,-64.22,-58.98,102.16
1.310826063156128,51.11,-66.66,-58.33,102.26
