time,wx,wy,wz
0.016334056854248047,-0.46,0.69,0.17
0.016533851623535156,-0.46,0.69,0.17
0.025126934051513672,-0.46,0.54,0.21
0.035346031188964844,-0.5,0.44,0.24
0.04608297348022461,-0.55,0.36,0.25
0.055624961853027344,-0.56,0.34,0.35
0.06567001342773438,-0.57,0.44,0.57
0.07829904556274414,-0.56,0.65,0.9
0.08591079711914062,-0.52,0.99,1.22
0.0964059829711914,-0.45,1.43,1.5
0.11644792556762695,-0.35,2.22,1.83
0.11678886413574219,-0.35,2.22,1.83
0.1269550323486328,-0.33,2.28,1.81
0.1362159252166748,-0.3,1.9,1.6
0.14713692665100098,-0.17,1.29,1.3
0.15854883193969727,0.12,0.62,1.0
0.16704607009887695,0.57,0.09,0.7
0.17980384826660156,1.18,-0.31,0.39
0.18715691566467285,1.96,-0.44,0.06
0.19764995574951172,2.82,-0.42,-0.31
0.2182478904724121,3.78,-1.2,-1.07
0.21863079071044922,3.78,-1.2,-1.07
0.22681593894958496,3.15,-2.47,-1.28
0.23726606369018555,2.58,-3.03,-1.38
0.24771499633789062,2.29,-2.12,-1.31
0.25809478759765625,1.91,-0.76,-1.04
0.2682509422302246,1.28,0.19,-0.68
0.2795548439025879,0.59,0.65,-0.32
0.28760790824890137,0.11,0.93,-0.07
0.29810380935668945,-0.13,1.04,0.05
0.31792688369750977,0.09,0.46,0.05
0.3182368278503418,0.09,0.46,0.05
0.32771897315979004,0.46,-0.15,-0.09
0.3381648063659668,0.93,-0.82,-0.3
0.348848819732666,1.3,-1.78,-0.49
0.3584728240966797,1.37,-3.1,-0.56
0.3683137893676758,0.99,-3.99,-0.67
0.38071775436401367,0.32,-3.43,-1.12
0.38841986656188965,-0.52,-2.37,-1.38
0.3987250328063965,-1.2,-1.25,-1.35
0.418673038482666,-1.82,1.18,-1.28
0.41898393630981445,-1.82,1.18,-1.28
0.42867279052734375,-1.69,2.2,-1.37
0.4393129348754883,-1.34,3.12,-1.5
0.44921398162841797,-0.9,4.16,-1.62
0.4594268798828125,-0.37,5.39,-1.73
0.46909284591674805,0.17,5.29,-1.6
0.48258399963378906,0.29,0.35,-0.63
0.4889540672302246,0.21,-1.36,-0.06
0.4995079040527344,0.07,-1.39,0.14
0.5203559398651123,-0.28,0.21,0.15
0.5208468437194824,-0.28,0.21,0.15
0.5293540954589844,-0.76,-0.28,-0.26
0.5404019355773926,-1.35,-0.74,-1.1
0.5496208667755127,-1.95,-0.72,-1.9
0.5604748725891113,-2.46,-0.54,-1.99
0.5696897506713867,-2.7,-0.54,-1.42
0.5830309391021729,-2.56,-1.33,-0.66
0.5910820960998535,-2.06,-2.85,-0.09
0.6005110740661621,-0.87,-4.0,0.35
0.6221880912780762,2.21,-5.25,0.51
0.6228570938110352,2.21,-5.25,0.51
0.6304728984832764,3.7,-5.65,0.11
0.6410508155822754,4.67,-6.57,-0.48
0.6504998207092285,5.1,-7.67,-1.05
0.6613907814025879,5.02,-8.73,-1.09
0.6710147857666016,4.58,-9.73,-0.47
0.6844449043273926,4.02,-10.5,0.88
0.6915998458862305,3.5,-11.26,2.62
0.701117992401123,3.23,-12.07,4.19
0.722221851348877,2.81,-12.09,5.78
0.7227377891540527,2.81,-12.09,5.78
0.7313690185546875,2.26,-11.44,6.37
0.7419469356536865,1.7,-10.42,6.99
0.752795934677124,1.24,-9.27,7.88
0.7626900672912598,0.47,-8.15,8.91
0.7725458145141602,-0.28,-7.26,10.16
0.7843518257141113,-0.78,-6.46,11.46
0.7928080558776855,-1.02,-5.71,12.4
0.8029448986053467,-1.03,-5.02,12.78
0.8221230506896973,-0.56,-3.3,12.0
0.8237299919128418,-0.56,-3.3,12.0
0.8336930274963379,-0.57,-2.74,11.39
0.8436648845672607,-0.9,-2.29,10.93
0.8538639545440674,-1.44,-1.76,10.8
0.8637449741363525,-2.16,-1.17,10.98
0.8747439384460449,-2.9,-0.59,11.39
0.8843059539794922,-3.5,-0.02,11.85
0.894320011138916,-3.83,0.45,12.13
0.9041869640350342,-3.92,0.73,12.15
0.9217638969421387,-3.88,0.78,11.96
0.9237780570983887,-3.75,0.7,11.59
0.9346258640289307,-3.62,0.61,11.11
0.9441699981689453,-3.57,0.44,10.69
0.9547648429870605,-3.52,0.18,10.41
0.9645509719848633,-3.48,-0.12,10.25
0.9760580062866211,-3.49,-0.4,10.03
0.985166072845459,-3.51,-0.55,9.65
0.9948949813842773,-3.57,-0.58,9.13
1.0051748752593994,-3.68,-0.43,8.43
1.0225119590759277,-3.87,-0.16,7.71
1.024371862411499,-4.15,0.11,7.15
1.0354180335998535,-4.33,0.24,6.88
1.0455107688903809,-4.29,0.09,7.02
1.0553250312805176,-4.08,-0.13,7.35
1.0648727416992188,-3.89,-0.31,7.44
1.0760540962219238,-3.86,-0.33,7.18
1.08530592918396,-4.03,-0.17,6.59
1.095362901687622,-4.27,-0.06,5.87
1.1040987968444824,-4.38,-0.39,5.2
1.1242718696594238,-3.52,-1.68,4.53
1.125830888748169,-3.52,-1.68,4.53
1.134347915649414,-2.75,-2.4,4.51
1.1457159519195557,-2.12,-3.0,4.43
1.156074047088623,-1.88,-3.3,3.9
1.1657218933105469,-1.95,-3.12,2.89
1.1763639450073242,-2.07,-2.37,1.61
1.1879510879516602,-2.17,-1.14,0.39
1.1958849430084229,-2.25,0.1,-0.49
1.206596851348877,-2.25,1.22,-1.02
1.2257390022277832,-1.78,2.5,-1.46
1.2259509563446045,-1.78,2.5,-1.46
1.235032081604004,-1.18,2.58,-1.57
1.2460498809814453,-0.35,2.25,-1.7
1.2553510665893555,0.51,1.59,-2.03
1.2670907974243164,1.3,0.85,-2.59
1.2758429050445557,2.0,0.13,-3.27
1.2876389026641846,2.71,-0.4,-3.86
1.2960739135742188,3.53,-0.6,-4.11
1.306325912475586,4.5,-0.52,-3.93
1.3174748420715332,5.61,-0.39,-3.35
1.32725191116333,6.73,-0.39,-2.66
1.3358209133148193,7.85,-0.48,-2.0
1.3468890190124512,8.94,-0.65,-1.26
1.3566370010375977,10.08,-1.06,-0.56
1.3675689697265625,11.13,-1.52,-0.87
1.3773078918457031,11.78,-2.43,-3.27
1.3898468017578125,11.43,-4.04,-6.63
1.3982319831848145,9.76,-5.48,-8.89
1.409402847290039,7.01,-6.75,-9.41
1.426414966583252,4.04,-8.61,-9.35
1.428168773651123,1.9,-10.9,-9.79
1.4385268688201904,0.45,-12.51,-11.02
1.4475629329681396,-0.84,-12.32,-12.48
1.4605159759521484,-2.89,-10.55,-13.05
1.4690399169921875,-4.45,-8.54,-12.62
1.4785990715026855,-5.14,-7.88,-12.3
1.4901390075683594,-5.55,-8.65,-12.45
1.4978599548339844,-6.14,-9.49,-12.52
1.509833812713623,-7.38,-10.0,-12.57
1.528243064880371,-9.04,-6.76,-12.47
1.5292389392852783,-9.04,-6.76,-12.47
1.5386059284210205,-9.35,-3.66,-12.17
1.5496487617492676,-8.61,-1.36,-11.63
1.5595118999481201,-7.58,-0.53,-11.21
1.5695788860321045,-6.59,-1.63,-11.41
1.578697919845581,-6.47,-3.79,-12.05
1.591477870941162,-7.2,-5.63,-12.89
1.5992927551269531,-8.24,-6.35,-13.35
1.6110100746154785,-9.14,-5.7,-12.67
1.6272077560424805,-8.97,-4.52,-10.0
1.629309892654419,-7.1,-4.45,-5.78
1.6400668621063232,-4.74,-5.12,-3.03
1.6490397453308105,-3.15,-5.58,-2.46
1.6601898670196533,-2.93,-5.5,-2.67
1.6706478595733643,-4.07,-4.9,-2.69
1.6799039840698242,-6.24,-3.99,-2.57
1.692521095275879,-8.42,-2.87,-2.23
1.6996428966522217,-9.3,-1.76,-0.98
1.7102038860321045,-8.29,-1.22,1.3
1.7303509712219238,-3.11,-2.05,4.92
1.730668067932129,-3.11,-2.05,4.92
1.7399539947509766,-1.15,-2.5,5.09
1.7520079612731934,-0.01,-2.66,5.15
1.7600197792053223,0.66,-2.35,5.65
1.7705450057983398,1.32,-1.45,6.8
1.7806320190429688,2.44,-0.23,8.35
1.7933950424194336,4.02,0.43,10.03
1.8002278804779053,5.66,0.3,11.25
1.811614990234375,6.92,-0.34,11.6
1.8295087814331055,7.69,-1.15,11.11
1.8314318656921387,7.84,-2.01,10.18
1.841660976409912,7.53,-3.03,9.4
1.8520519733428955,7.24,-4.08,8.99
1.86177396774292,7.36,-4.97,9.05
1.8719899654388428,7.98,-5.14,9.23
1.8818058967590332,8.79,-3.76,9.25
1.8920540809631348,8.93,-1.15,9.1
1.9020280838012695,7.34,1.28,8.97
1.9119410514831543,4.34,2.63,9.01
1.9287679195404053,1.35,2.48,9.08
1.9314217567443848,-0.58,0.66,8.93
1.9426970481872559,-1.25,-1.91,8.39
1.9523138999938965,-0.66,-3.75,7.71
1.9631190299987793,1.02,-3.76,7.11
1.9730808734893799,2.98,-2.34,6.62
1.9818267822265625,3.69,-0.91,6.06
1.9927799701690674,2.81,0.38,5.51
2.0012869834899902,1.28,1.54,5.27
2.0114729404449463,-0.19,2.0,5.27
2.0323519706726074,-1.06,1.17,4.61
2.0328187942504883,-1.06,1.17,4.61
2.0417568683624268,-0.41,0.53,3.76
2.0523829460144043,0.51,0.14,2.81
2.0626330375671387,1.32,0.03,2.02
2.0722758769989014,1.92,-0.42,1.59
2.0824098587036133,2.38,-1.37,1.43
2.095057964324951,2.63,-2.37,1.31
2.102303981781006,2.53,-3.42,0.89
2.114029884338379,2.33,-4.49,-0.03
2.1334967613220215,2.18,-5.5,-3.16
2.133821964263916,2.18,-5.5,-3.16
2.143225908279419,1.6,-5.59,-4.88
2.15456485748291,0.64,-5.74,-6.4
2.1645617485046387,-0.25,-5.72,-7.85
2.175520896911621,-0.85,-5.7,-9.32
2.183445930480957,-1.11,-6.03,-10.58
2.195363998413086,-0.97,-6.42,-11.56
2.2040228843688965,-0.91,-6.36,-12.49
2.215059757232666,-1.25,-5.86,-13.24
2.2351229190826416,-2.77,-4.1,-13.07
2.235599994659424,-2.77,-4.1,-13.07
2.244032859802246,-3.35,-3.19,-11.94
2.2553467750549316,-3.82,-2.32,-10.61
2.265094757080078,-4.38,-1.44,-9.68
2.2751808166503906,-5.06,-0.65,-9.22
2.2850890159606934,-5.82,0.22,-9.26
2.2955570220947266,-6.56,0.96,-9.59
2.3065237998962402,-7.03,1.33,-10.03
2.315981864929199,-7.1,1.38,-10.25
2.334958076477051,-6.54,0.88,-9.69
2.3365139961242676,-6.54,0.88,-9.69
2.345705032348633,-6.18,0.47,-8.65
2.356423854827881,-5.56,-0.11,-7.4
2.366175889968872,-4.63,-0.83,-6.65
2.3761677742004395,-3.76,-1.43,-6.51
2.38598895072937,-3.25,-1.67,-6.65
2.396549940109253,-3.0,-1.01,-7.04
2.4058969020843506,-3.26,0.21,-7.29
2.4165778160095215,-3.99,1.91,-7.4
2.433574914932251,-4.71,3.72,-7.27
2.43575382232666,-5.05,5.42,-7.11
2.4466209411621094,-4.98,7.02,-7.13
2.4566879272460938,-4.53,8.42,-7.17
2.4664359092712402,-3.94,9.26,-6.82
2.477571964263916,-3.6,9.14,-5.83
2.485290050506592,-3.77,8.35,-4.49
2.4967029094696045,-4.36,7.65,-3.31
2.5054807662963867,-4.93,7.53,-2.56
2.517026901245117,-5.24,7.91,-2.29
2.536510944366455,-4.83,10.02,-2.32
2.5368337631225586,-4.83,10.02,-2.32
2.5457067489624023,-3.99,10.74,-2.2
2.5567429065704346,-3.05,11.2,-1.9
2.5659279823303223,-2.23,11.29,-1.62
2.576817035675049,-1.58,10.88,-1.41
2.5862250328063965,-1.13,10.17,-1.11
2.5995988845825195,-0.85,9.14,-0.8
2.6082968711853027,-0.72,8.0,-0.52
2.616818904876709,-0.6,6.81,-0.31
2.639504909515381,-0.53,4.58,-0.11
2.6399269104003906,-0.53,4.58,-0.11
2.646561861038208,-0.57,3.52,0.06
2.6584367752075195,-0.57,2.47,0.19
2.6671857833862305,-0.52,1.49,0.22
2.6785669326782227,-0.46,0.76,0.18
2.6872918605804443,-0.41,0.41,0.16
2.7002599239349365,-0.41,0.24,0.2
2.707882881164551,-0.53,0.15,0.21
2.7176270484924316,-0.74,0.08,0.28
2.741199016571045,-1.31,-0.3,0.45
2.741593837738037,-1.31,-0.3,0.45
2.747398853302002,-1.6,-0.62,0.41
2.7583470344543457,-1.84,-0.92,0.3
2.7679858207702637,-2.07,-1.08,0.18
2.7787928581237793,-2.33,-0.94,0.08
2.7878239154815674,-2.2,-1.1,0.1
2.8011927604675293,-2.05,-0.38,0.24
2.808526039123535,-2.4,0.4,0.28
2.818398952484131,-2.09,0.26,0.07
2.8408617973327637,-0.74,-1.32,0.08
2.8411850929260254,-0.74,-1.32,0.08
2.848219871520996,-0.27,-2.24,0.07
2.8602137565612793,0.11,-2.72,0.05
2.868648052215576,0.36,-2.49,0.1
2.8799757957458496,0.47,-1.64,0.22
2.8888168334960938,0.58,-0.66,0.36
2.9011688232421875,0.83,-0.13,0.41
2.909308910369873,1.08,-0.04,0.34
2.9190540313720703,1.15,-0.24,0.21
2.940340042114258,0.62,-0.76,0.08
2.940682888031006,0.62,-0.76,0.08
2.9490747451782227,0.19,-0.79,0.13
2.9591569900512695,-0.15,-0.7,0.16
2.969851016998291,-0.3,-0.59,0.12
2.9812097549438477,-0.27,-0.49,0.07
2.9899048805236816,-0.16,-0.45,0.02
3.002007007598877,-0.01,-0.46,-0.01
3.0101189613342285,0.14,-0.41,0.03
3.0198240280151367,0.21,-0.31,0.14
3.042448043823242,0.11,-0.13,0.27
3.0430350303649902,0.11,-0.13,0.27
3.0498149394989014,-0.01,-0.17,0.25
3.060534954071045,-0.13,-0.26,0.2
3.070295810699463,-0.2,-0.4,0.09
3.082015037536621,-0.19,-0.57,-0.02
3.090890884399414,-0.13,-0.64,-0.12
3.1028199195861816,-0.02,-0.62,-0.19
3.1111209392547607,0.12,-0.53,-0.18
3.1206817626953125,0.58,-0.17,-0.04
3.141829013824463,0.8,-0.52,0.48
3.142162799835205,0.8,-0.52,0.48
3.1511120796203613,0.24,-0.55,0.66
3.1606318950653076,-0.43,-0.51,0.61
3.171271800994873,-1.01,-0.45,0.39
3.1816658973693848,-1.42,-0.33,0.13
3.191565990447998,-1.56,-0.18,-0.07
3.2029969692230225,-1.33,0.05,-0.23
