time,ax,ay,az,atotal
0.007927179336547852,0.26,-0.51,0.59,0.82
0.015679121017456055,-0.08,0.03,0.54,0.54
0.02955794334411621,-0.12,0.12,0.19,0.25
0.03562808036804199,0.13,-0.03,-0.09,0.16
0.04553389549255371,0.22,-0.16,-0.06,0.27
0.05751609802246094,0.21,-0.11,0.06,0.24
0.0662081241607666,0.18,0.05,0.13,0.22
0.07562804222106934,0.1,0.1,0.19,0.23
0.08736014366149902,0.08,0.06,0.22,0.24
0.09582018852233887,0.09,0.01,0.18,0.2
0.10586309432983398,0.09,0.01,0.1,0.13
0.1152489185333252,0.03,0.05,0.09,0.1
0.12932801246643066,-0.04,0.09,0.12,0.15
0.13508391380310059,-0.09,0.1,0.2,0.24
0.14519500732421875,-0.11,0.09,0.27,0.3
0.1575639247894287,-0.08,0.04,0.31,0.32
0.16672205924987793,-0.01,0.0,0.31,0.31
0.1755359172821045,0.08,-0.01,0.26,0.27
0.18699288368225098,0.1,0.01,0.21,0.23
0.19595003128051758,0.08,0.03,0.15,0.17
0.20649504661560059,0.05,0.03,0.15,0.16
0.21614718437194824,-0.01,0.0,0.14,0.14
0.22987103462219238,0.0,0.03,0.04,0.05
0.23515701293945312,0.02,0.03,-0.07,0.07
0.24491310119628906,0.03,-0.02,0.0,0.03
0.25724005699157715,0.05,-0.08,0.14,0.16
0.26594996452331543,0.06,-0.09,0.31,0.32
0.2758829593658447,0.05,-0.07,0.36,0.37
0.28659701347351074,0.05,-0.05,0.34,0.34
0.29618406295776367,0.05,-0.05,0.29,0.29
0.307204008102417,0.06,-0.02,0.21,0.21
0.3159749507904053,0.05,0.04,0.12,0.13
0.3302290439605713,0.04,0.08,0.04,0.09
0.3350789546966553,0.05,0.08,0.05,0.1
0.3458890914916992,0.1,0.05,0.16,0.19
0.3583080768585205,0.1,0.0,0.28,0.29
0.36574292182922363,0.1,0.0,0.35,0.36
0.375805139541626,0.08,0.01,0.34,0.34
0.3881099224090576,0.03,0.01,0.25,0.25
0.39578700065612793,-0.02,0.02,0.12,0.12
0.40709805488586426,-0.05,0.07,0.02,0.08
0.4149320125579834,-0.1,0.11,0.01,0.14
0.4305741786956787,-0.12,0.11,0.09,0.18
0.43492603302001953,-0.07,0.09,0.17,0.2
0.4448680877685547,-0.02,0.05,0.21,0.21
0.45691514015197754,-0.02,0.03,0.25,0.25
0.46539902687072754,-0.01,0.01,0.26,0.26
0.4760448932647705,0.01,0.01,0.29,0.29
0.4879271984100342,0.03,0.0,0.36,0.36
0.4968879222869873,0.01,0.01,0.41,0.41
0.5056521892547607,-0.07,0.03,0.35,0.35
0.5152029991149902,-0.13,0.03,0.23,0.26
0.5294580459594727,-0.1,-0.03,0.14,0.17
0.5348100662231445,-0.06,-0.1,0.1,0.15
0.5447351932525635,-0.02,-0.09,0.12,0.15
0.5566351413726807,-0.02,-0.05,0.16,0.16
0.5656569004058838,-0.07,-0.01,0.15,0.16
0.5750629901885986,-0.13,0.01,0.09,0.15
0.591655969619751,-0.11,-0.04,-0.11,0.16
0.5969641208648682,-0.12,0.09,-0.28,0.31
0.606605052947998,-0.21,0.2,-0.2,0.35
0.6148180961608887,0.17,0.05,-0.06,0.18
0.6290109157562256,0.15,-0.02,0.08,0.17
